,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
114,description,entity,1,True,False,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",114,140,6,False
432,location,location,4,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",432,140,6,False
261,human,human,3,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",261,140,6,False
234,entity,entity,1,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",234,140,6,False
264,numeric,numeric,5,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",264,140,6,False
473,numeric,numeric,5,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",473,140,6,False
267,location,location,4,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",267,140,6,False
428,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",428,140,6,False
47,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",47,140,6,False
10,location,location,4,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",10,140,6,False
352,description,entity,1,True,False,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",352,140,6,False
275,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",275,140,6,False
277,numeric,numeric,5,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",277,140,6,False
327,numeric,numeric,5,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",327,140,6,False
151,human,human,3,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",151,140,6,False
222,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",222,140,6,False
75,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",75,140,6,False
76,description,entity,1,True,False,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",76,140,6,False
123,human,human,3,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",123,140,6,False
102,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",102,140,6,False
426,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",426,140,6,False
390,human,human,3,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",390,140,6,False
265,description,description,2,True,True,True,"{3: 29, 1: 39, 5: 28, 2: 23, 4: 18, 0: 3}","[4281, 5151, 547, 835, 1236, 2661, 2695, 3028, 365, 5339, 3454, 4274, 12, 2635, 1209, 1496, 558, 1464, 127, 3420, 4775, 4150, 4002, 5143, 3364, 1467, 707, 4730, 1350, 2464, 1385, 1120, 3633, 4886, 2785, 1744, 1980, 4956, 1943, 1612, 4458, 2930, 1594, 3817, 2197, 4690, 3797, 1132, 4059, 52, 2939, 3210, 303, 3370, 3928, 3267, 3315, 2451, 2276, 2819, 48, 2304, 3975, 1463, 255, 2466, 714, 4404, 4532, 1330, 2387, 853, 3497, 449, 4809, 686, 5285, 4170, 5054, 1877, 2593, 5186, 1328, 1479, 1833, 5423, 1768, 1391, 1190, 1750, 952, 269, 3367, 5364, 270, 4070, 488, 236, 1892, 1988, 550, 828, 2300, 2059, 106, 4297, 4353, 5155, 1649, 1652, 1683, 227, 5232, 2089, 1808, 4276, 4677, 93, 5095, 1096, 3930, 3086, 3406, 635, 289, 4481, 2480, 2760, 3279, 5101, 2418, 2673, 861, 5373, 1016, 990, 2346, 4330, 1373, 4212]",265,140,6,False
